Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                                 (1,)   512.00B
Tensor1                                                 (1,)   512.00B
Tensor2                                                 (1,)   512.00B
Tensor3                                                 (1,)   512.00B
Tensor4                                                 (1,)   512.00B
Tensor5                                                 (1,)   512.00B
Tensor6                                                 (1,)   512.00B
Tensor7                                                 (1,)   512.00B
Tensor8                                                 (1,)   512.00B
Tensor9                                                 (1,)   512.00B
Tensor10                                                (1,)   512.00B
Tensor11                                                (1,)   512.00B
Tensor12                                                (1,)   512.00B
Tensor13                                                (1,)   512.00B
Tensor14                                                (1,)   512.00B
Tensor15                                                (1,)   512.00B
Tensor16                                                (1,)   512.00B
Tensor17                                                (1,)   512.00B
Tensor18                                                (1,)   512.00B
Tensor19                                                (1,)   512.00B
Tensor20                                                (1,)   512.00B
Tensor21                                                (1,)   512.00B
Tensor22                                                (1,)   512.00B
Tensor23                                                (1,)   512.00B
Tensor24                                                (1,)   512.00B
Tensor25                                                (1,)   512.00B
Tensor26                                                (1,)   512.00B
Tensor27                                                (1,)   512.00B
Tensor28                                                (1,)   512.00B
Tensor29                                                (1,)   512.00B
Tensor30                                                (1,)   512.00B
Tensor31                                                (1,)   512.00B
Tensor32                                                (1,)   512.00B
Tensor33                                                (1,)   512.00B
Tensor34                                                (1,)   512.00B
Tensor35                                                (1,)   512.00B
Tensor36                                                (1,)   512.00B
Tensor37                                                (1,)   512.00B
Tensor38                                                (1,)   512.00B
Tensor39                                                (1,)   512.00B
Tensor40                                                (1,)   512.00B
Tensor41                                                (1,)   512.00B
Tensor42                                                (1,)   512.00B
Tensor43                                                (1,)   512.00B
Tensor44                                                (1,)   512.00B
Tensor45                                                (1,)   512.00B
Tensor46                                                (1,)   512.00B
Tensor47                                                (1,)   512.00B
Tensor48                                                (1,)   512.00B
Tensor49                                                (1,)   512.00B
Tensor50                                                (1,)   512.00B
Tensor51                                                (1,)   512.00B
features.15.conv.0.1.weight                           (960,)     4.00K
features.11.conv.0.0.weight                  (384, 64, 1, 1)    96.00K
features.15.conv.0.0.weight                 (960, 160, 1, 1)   600.00K
features.11.conv.0.1.weight                           (384,)     1.50K
features.11.conv.0.1.bias                             (384,)     1.50K
features.11.conv.2.weight                    (96, 384, 1, 1)   144.00K
features.11.conv.3.weight                              (96,)   512.00B
features.11.conv.3.bias                                (96,)   512.00B
features.12.conv.2.weight                    (96, 576, 1, 1)   216.00K
features.12.conv.3.weight                              (96,)   512.00B
