----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1        [-1, 32, 512, 1024]             864
       BatchNorm2d-2        [-1, 32, 512, 1024]              64
             ReLU6-3        [-1, 32, 512, 1024]               0
            Conv2d-4        [-1, 32, 512, 1024]             288
       BatchNorm2d-5        [-1, 32, 512, 1024]              64
             ReLU6-6        [-1, 32, 512, 1024]               0
            Conv2d-7        [-1, 16, 512, 1024]             512
       BatchNorm2d-8        [-1, 16, 512, 1024]              32
  InvertedResidual-9        [-1, 16, 512, 1024]               0
           Conv2d-10        [-1, 96, 512, 1024]           1,536
      BatchNorm2d-11        [-1, 96, 512, 1024]             192
            ReLU6-12        [-1, 96, 512, 1024]               0
           Conv2d-13         [-1, 96, 256, 512]             864
      BatchNorm2d-14         [-1, 96, 256, 512]             192
            ReLU6-15         [-1, 96, 256, 512]               0
           Conv2d-16         [-1, 24, 256, 512]           2,304
      BatchNorm2d-17         [-1, 24, 256, 512]              48
 InvertedResidual-18         [-1, 24, 256, 512]               0
           Conv2d-19        [-1, 144, 256, 512]           3,456
      BatchNorm2d-20        [-1, 144, 256, 512]             288
            ReLU6-21        [-1, 144, 256, 512]               0
           Conv2d-22        [-1, 144, 256, 512]           1,296
      BatchNorm2d-23        [-1, 144, 256, 512]             288
            ReLU6-24        [-1, 144, 256, 512]               0
           Conv2d-25         [-1, 24, 256, 512]           3,456
      BatchNorm2d-26         [-1, 24, 256, 512]              48
 InvertedResidual-27         [-1, 24, 256, 512]               0
           Conv2d-28        [-1, 144, 256, 512]           3,456
      BatchNorm2d-29        [-1, 144, 256, 512]             288
            ReLU6-30        [-1, 144, 256, 512]               0
           Conv2d-31        [-1, 144, 128, 256]           1,296
      BatchNorm2d-32        [-1, 144, 128, 256]             288
            ReLU6-33        [-1, 144, 128, 256]               0
           Conv2d-34         [-1, 32, 128, 256]           4,608
      BatchNorm2d-35         [-1, 32, 128, 256]              64
 InvertedResidual-36         [-1, 32, 128, 256]               0
           Conv2d-37        [-1, 192, 128, 256]           6,144
      BatchNorm2d-38        [-1, 192, 128, 256]             384
            ReLU6-39        [-1, 192, 128, 256]               0
           Conv2d-40        [-1, 192, 128, 256]           1,728
      BatchNorm2d-41        [-1, 192, 128, 256]             384
            ReLU6-42        [-1, 192, 128, 256]               0
           Conv2d-43         [-1, 32, 128, 256]           6,144
      BatchNorm2d-44         [-1, 32, 128, 256]              64
 InvertedResidual-45         [-1, 32, 128, 256]               0
           Conv2d-46        [-1, 192, 128, 256]           6,144
      BatchNorm2d-47        [-1, 192, 128, 256]             384
            ReLU6-48        [-1, 192, 128, 256]               0
           Conv2d-49        [-1, 192, 128, 256]           1,728
      BatchNorm2d-50        [-1, 192, 128, 256]             384
            ReLU6-51        [-1, 192, 128, 256]               0
           Conv2d-52         [-1, 32, 128, 256]           6,144
      BatchNorm2d-53         [-1, 32, 128, 256]              64
 InvertedResidual-54         [-1, 32, 128, 256]               0
           Conv2d-55        [-1, 192, 128, 256]           6,144
      BatchNorm2d-56        [-1, 192, 128, 256]             384
            ReLU6-57        [-1, 192, 128, 256]               0
           Conv2d-58         [-1, 192, 64, 128]           1,728
      BatchNorm2d-59         [-1, 192, 64, 128]             384
            ReLU6-60         [-1, 192, 64, 128]               0
           Conv2d-61          [-1, 64, 64, 128]          12,288
      BatchNorm2d-62          [-1, 64, 64, 128]             128
 InvertedResidual-63          [-1, 64, 64, 128]               0
           Conv2d-64         [-1, 384, 64, 128]          24,576
      BatchNorm2d-65         [-1, 384, 64, 128]             768
            ReLU6-66         [-1, 384, 64, 128]               0
           Conv2d-67         [-1, 384, 64, 128]           3,456
      BatchNorm2d-68         [-1, 384, 64, 128]             768
            ReLU6-69         [-1, 384, 64, 128]               0
           Conv2d-70          [-1, 64, 64, 128]          24,576
      BatchNorm2d-71          [-1, 64, 64, 128]             128
 InvertedResidual-72          [-1, 64, 64, 128]               0
           Conv2d-73         [-1, 384, 64, 128]          24,576
      BatchNorm2d-74         [-1, 384, 64, 128]             768
            ReLU6-75         [-1, 384, 64, 128]               0
           Conv2d-76         [-1, 384, 64, 128]           3,456
      BatchNorm2d-77         [-1, 384, 64, 128]             768
            ReLU6-78         [-1, 384, 64, 128]               0
