Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
module.layer3.4.conv1.weight               (256, 1024, 1, 1)     1.00M
module.layer3.9.conv3.weight               (1024, 256, 1, 1)     1.00M
module.layer3.4.bn1.weight                            (256,)     1.00K
module.layer3.4.bn1.bias                              (256,)     1.00K
module.layer3.4.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.4.bn2.weight                            (256,)     1.00K
module.layer3.4.bn2.bias                              (256,)     1.00K
module.layer3.4.conv3.weight               (1024, 256, 1, 1)     1.00M
module.layer3.4.bn3.weight                           (1024,)     4.00K
module.layer3.4.bn3.bias                             (1024,)     4.00K
module.layer3.5.conv1.weight               (256, 1024, 1, 1)     1.00M
module.layer3.5.bn1.weight                            (256,)     1.00K
module.layer3.5.bn1.bias                              (256,)     1.00K
module.layer3.5.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.5.bn2.weight                            (256,)     1.00K
module.layer3.5.bn2.bias                              (256,)     1.00K
module.layer3.5.conv3.weight               (1024, 256, 1, 1)     1.00M
module.layer3.5.bn3.weight                           (1024,)     4.00K
module.layer3.5.bn3.bias                             (1024,)     4.00K
module.layer3.6.conv1.weight               (256, 1024, 1, 1)     1.00M
module.layer3.6.bn1.weight                            (256,)     1.00K
module.layer3.6.bn1.bias                              (256,)     1.00K
module.layer3.6.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.6.bn2.weight                            (256,)     1.00K
module.layer3.6.bn2.bias                              (256,)     1.00K
module.layer3.6.conv3.weight               (1024, 256, 1, 1)     1.00M
module.layer3.6.bn3.weight                           (1024,)     4.00K
module.layer3.6.bn3.bias                             (1024,)     4.00K
module.layer3.7.conv1.weight               (256, 1024, 1, 1)     1.00M
module.layer3.7.bn1.weight                            (256,)     1.00K
module.layer3.7.bn1.bias                              (256,)     1.00K
module.layer3.7.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.7.bn2.weight                            (256,)     1.00K
module.layer3.7.bn2.bias                              (256,)     1.00K
module.layer3.7.conv3.weight               (1024, 256, 1, 1)     1.00M
module.layer3.7.bn3.weight                           (1024,)     4.00K
module.layer3.7.bn3.bias                             (1024,)     4.00K
module.layer3.8.conv1.weight               (256, 1024, 1, 1)     1.00M
module.layer3.8.bn1.weight                            (256,)     1.00K
module.layer3.8.bn1.bias                              (256,)     1.00K
module.layer3.8.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.8.bn2.weight                            (256,)     1.00K
