Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                                 (1,)   512.00B
Tensor1                                                 (1,)   512.00B
Tensor2                                                 (1,)   512.00B
Tensor3                                                 (1,)   512.00B
Tensor4                                                 (1,)   512.00B
Tensor5                                                 (1,)   512.00B
Tensor6                                                 (1,)   512.00B
Tensor7                                                 (1,)   512.00B
Tensor8                                                 (1,)   512.00B
Tensor9                                                 (1,)   512.00B
Tensor10                                                (1,)   512.00B
Tensor11                                                (1,)   512.00B
Tensor12                                                (1,)   512.00B
Tensor13                                                (1,)   512.00B
Tensor14                                                (1,)   512.00B
Tensor15                                                (1,)   512.00B
Tensor16                                                (1,)   512.00B
Tensor17                                                (1,)   512.00B
Tensor18                                                (1,)   512.00B
Tensor19                                                (1,)   512.00B
Tensor20                                                (1,)   512.00B
Tensor21                                                (1,)   512.00B
Tensor22                                                (1,)   512.00B
Tensor23                                                (1,)   512.00B
Tensor24                                                (1,)   512.00B
Tensor25                                                (1,)   512.00B
Tensor26                                                (1,)   512.00B
Tensor27                                                (1,)   512.00B
Tensor28                                                (1,)   512.00B
Tensor29                                                (1,)   512.00B
Tensor30                                                (1,)   512.00B
Tensor31                                                (1,)   512.00B
Tensor32                                                (1,)   512.00B
Tensor33                                                (1,)   512.00B
Tensor34                                                (1,)   512.00B
Tensor35                                                (1,)   512.00B
Tensor36                                                (1,)   512.00B
Tensor37                                                (1,)   512.00B
Tensor38                                                (1,)   512.00B
Tensor39                                                (1,)   512.00B
block8.rep.2.bias                                     (728,)     3.00K
block11.rep.2.weight                                  (728,)     3.00K
block11.rep.1.conv1.weight                    (728, 1, 3, 3)    26.00K
block11.rep.1.pointwise.weight              (728, 728, 1, 1)     2.02M
block8.rep.5.weight                                   (728,)     3.00K
block8.rep.5.bias                                     (728,)     3.00K
block8.rep.8.weight                                   (728,)     3.00K
block8.rep.8.bias                                     (728,)     3.00K
block9.rep.2.weight                                   (728,)     3.00K
block9.rep.2.bias                                     (728,)     3.00K
block9.rep.5.weight                                   (728,)     3.00K
block9.rep.5.bias                                     (728,)     3.00K
block9.rep.8.weight                                   (728,)     3.00K
block9.rep.8.bias                                     (728,)     3.00K
block10.rep.2.weight                                  (728,)     3.00K
block10.rep.2.bias                                    (728,)     3.00K
block10.rep.5.weight                                  (728,)     3.00K
block10.rep.5.bias                                    (728,)     3.00K
block10.rep.8.weight                                  (728,)     3.00K
block10.rep.8.bias                                    (728,)     3.00K
