Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter0                                 (256, 1024, 1, 1)     1.00M
Parameter1                                 (1024, 256, 1, 1)     1.00M
Parameter2                                            (256,)     1.00K
Parameter3                                            (256,)     1.00K
Parameter4                                  (256, 256, 3, 3)     2.25M
Parameter5                                            (256,)     1.00K
Parameter6                                            (256,)     1.00K
Parameter7                                 (1024, 256, 1, 1)     1.00M
Parameter8                                           (1024,)     4.00K
Parameter9                                           (1024,)     4.00K
Parameter10                                (256, 1024, 1, 1)     1.00M
Parameter11                                           (256,)     1.00K
Parameter12                                           (256,)     1.00K
Parameter13                                 (256, 256, 3, 3)     2.25M
Parameter14                                           (256,)     1.00K
Parameter15                                           (256,)     1.00K
Parameter16                                (1024, 256, 1, 1)     1.00M
Parameter17                                          (1024,)     4.00K
Parameter18                                          (1024,)     4.00K
Parameter19                                (256, 1024, 1, 1)     1.00M
Parameter20                                           (256,)     1.00K
Parameter21                                           (256,)     1.00K
Parameter22                                 (256, 256, 3, 3)     2.25M
Parameter23                                           (256,)     1.00K
Parameter24                                           (256,)     1.00K
Parameter25                                (1024, 256, 1, 1)     1.00M
Parameter26                                          (1024,)     4.00K
Parameter27                                          (1024,)     4.00K
Parameter28                                (256, 1024, 1, 1)     1.00M
Parameter29                                           (256,)     1.00K
Parameter30                                           (256,)     1.00K
Parameter31                                 (256, 256, 3, 3)     2.25M
Parameter32                                           (256,)     1.00K
Parameter33                                           (256,)     1.00K
Parameter34                                (1024, 256, 1, 1)     1.00M
Parameter35                                          (1024,)     4.00K
Parameter36                                          (1024,)     4.00K
Parameter37                                (256, 1024, 1, 1)     1.00M
Parameter38                                           (256,)     1.00K
Parameter39                                           (256,)     1.00K
Parameter40                                 (256, 256, 3, 3)     2.25M
Parameter41                                           (256,)     1.00K
Parameter42                                           (256,)     1.00K
Parameter43                                (1024, 256, 1, 1)     1.00M
Parameter44                                          (1024,)     4.00K
Parameter45                                          (1024,)     4.00K
Parameter46                                (256, 1024, 1, 1)     1.00M
Parameter47                                           (256,)     1.00K
Parameter48                                           (256,)     1.00K
Parameter49                                 (256, 256, 3, 3)     2.25M
Parameter50                                           (256,)     1.00K
Parameter51                                           (256,)     1.00K
Parameter52                                          (1024,)     4.00K
Parameter53                                          (1024,)     4.00K
Parameter54                                (256, 1024, 1, 1)     1.00M
Parameter55                                           (256,)     1.00K
Parameter56                                           (256,)     1.00K
Parameter57                                 (256, 256, 3, 3)     2.25M
