Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
module.layer3.4.conv1.weight               (256, 1024, 1, 1)     1.00M
module.layer3.4.bn1.weight                            (256,)     1.00K
module.layer3.4.bn1.bias                              (256,)     1.00K
module.layer3.4.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.4.bn2.weight                            (256,)     1.00K
module.layer3.4.bn2.bias                              (256,)     1.00K
module.layer3.4.conv3.weight               (1024, 256, 1, 1)     1.00M
module.layer3.4.bn3.weight                           (1024,)     4.00K
module.layer3.4.bn3.bias                             (1024,)     4.00K
module.fc.weight                                (1000, 2048)     7.81M
module.fc.bias                                       (1000,)     4.00K
module.layer3.5.conv1.weight               (256, 1024, 1, 1)     1.00M
module.layer3.5.bn1.weight                            (256,)     1.00K
module.layer3.5.bn1.bias                              (256,)     1.00K
module.layer3.5.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.5.bn2.weight                            (256,)     1.00K
module.layer3.5.bn2.bias                              (256,)     1.00K
module.layer3.5.conv3.weight               (1024, 256, 1, 1)     1.00M
module.layer3.5.bn3.weight                           (1024,)     4.00K
module.layer3.5.bn3.bias                             (1024,)     4.00K
module.layer4.0.conv1.weight               (512, 1024, 1, 1)     2.00M
module.layer4.0.bn1.weight                            (512,)     2.00K
module.layer4.0.bn1.bias                              (512,)     2.00K
module.layer4.0.conv2.weight                (512, 512, 3, 3)     9.00M
module.layer4.0.bn2.weight                            (512,)     2.00K
module.layer4.0.bn2.bias                              (512,)     2.00K
module.layer4.0.conv3.weight               (2048, 512, 1, 1)     4.00M
module.layer4.0.bn3.weight                           (2048,)     8.00K
module.layer4.0.bn3.bias                             (2048,)     8.00K
module.layer4.1.conv1.weight               (512, 2048, 1, 1)     4.00M
module.layer4.1.bn1.weight                            (512,)     2.00K
module.layer4.1.bn1.bias                              (512,)     2.00K
module.layer4.1.conv2.weight                (512, 512, 3, 3)     9.00M
module.layer4.1.bn2.weight                            (512,)     2.00K
module.layer4.1.bn2.bias                              (512,)     2.00K
module.layer4.1.conv3.weight               (2048, 512, 1, 1)     4.00M
module.layer4.1.bn3.weight                           (2048,)     8.00K
module.layer4.1.bn3.bias                             (2048,)     8.00K
module.layer4.2.conv1.weight               (512, 2048, 1, 1)     4.00M
module.layer4.2.bn1.weight                            (512,)     2.00K
module.layer4.2.bn1.bias                              (512,)     2.00K
module.layer4.2.conv2.weight                (512, 512, 3, 3)     9.00M
