----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 64, 250, 167]           9,408
       BatchNorm2d-2         [-1, 64, 250, 167]             128
              ReLU-3         [-1, 64, 250, 167]               0
            Conv2d-4         [-1, 64, 250, 167]           9,408
         MaxPool2d-5          [-1, 64, 125, 84]               0
            Conv2d-6          [-1, 64, 125, 84]           4,096
       BatchNorm2d-7          [-1, 64, 125, 84]             128
       BatchNorm2d-8         [-1, 64, 250, 167]             128
              ReLU-9          [-1, 64, 125, 84]               0
             ReLU-10         [-1, 64, 250, 167]               0
           Conv2d-11          [-1, 64, 125, 84]          36,864
        MaxPool2d-12          [-1, 64, 125, 84]               0
           Conv2d-13          [-1, 64, 125, 84]           4,096
      BatchNorm2d-14          [-1, 64, 125, 84]             128
      BatchNorm2d-15          [-1, 64, 125, 84]             128
             ReLU-16          [-1, 64, 125, 84]               0
             ReLU-17          [-1, 64, 125, 84]               0
           Conv2d-18         [-1, 256, 125, 84]          16,384
           Conv2d-19          [-1, 64, 125, 84]          36,864
      BatchNorm2d-20         [-1, 256, 125, 84]             512
      BatchNorm2d-21          [-1, 64, 125, 84]             128
           Conv2d-22         [-1, 256, 125, 84]          16,384
             ReLU-23          [-1, 64, 125, 84]               0
           Conv2d-24         [-1, 256, 125, 84]          16,384
      BatchNorm2d-25         [-1, 256, 125, 84]             512
           Conv2d-26         [-1, 256, 125, 84]          16,384
      BatchNorm2d-27         [-1, 256, 125, 84]             512
             ReLU-28         [-1, 256, 125, 84]               0
       Bottleneck-29         [-1, 256, 125, 84]               0
           Conv2d-30          [-1, 64, 125, 84]          16,384
      BatchNorm2d-31          [-1, 64, 125, 84]             128
      BatchNorm2d-32         [-1, 256, 125, 84]             512
             ReLU-33          [-1, 64, 125, 84]               0
           Conv2d-34          [-1, 64, 125, 84]          36,864
             ReLU-35         [-1, 256, 125, 84]               0
       Bottleneck-36         [-1, 256, 125, 84]               0
      BatchNorm2d-37          [-1, 64, 125, 84]             128
             ReLU-38          [-1, 64, 125, 84]               0
           Conv2d-39          [-1, 64, 125, 84]          16,384
           Conv2d-40         [-1, 256, 125, 84]          16,384
      BatchNorm2d-41         [-1, 256, 125, 84]             512
             ReLU-42         [-1, 256, 125, 84]               0
       Bottleneck-43         [-1, 256, 125, 84]               0
      BatchNorm2d-44          [-1, 64, 125, 84]             128
           Conv2d-45          [-1, 64, 125, 84]          16,384
      BatchNorm2d-46          [-1, 64, 125, 84]             128
             ReLU-47          [-1, 64, 125, 84]               0
             ReLU-48          [-1, 64, 125, 84]               0
           Conv2d-49          [-1, 64, 125, 84]          36,864
           Conv2d-50          [-1, 64, 125, 84]          36,864
      BatchNorm2d-51          [-1, 64, 125, 84]             128
      BatchNorm2d-52          [-1, 64, 125, 84]             128
             ReLU-53          [-1, 64, 125, 84]               0
           Conv2d-54         [-1, 256, 125, 84]          16,384
             ReLU-55          [-1, 64, 125, 84]               0
           Conv2d-56         [-1, 256, 125, 84]          16,384
      BatchNorm2d-57         [-1, 256, 125, 84]             512
             ReLU-58         [-1, 256, 125, 84]               0
       Bottleneck-59         [-1, 256, 125, 84]               0
      BatchNorm2d-60         [-1, 256, 125, 84]             512
           Conv2d-61         [-1, 128, 125, 84]          32,768
      BatchNorm2d-62         [-1, 128, 125, 84]             256
             ReLU-63         [-1, 256, 125, 84]               0
       Bottleneck-64         [-1, 256, 125, 84]               0
             ReLU-65         [-1, 128, 125, 84]               0
           Conv2d-66          [-1, 64, 125, 84]          16,384
           Conv2d-67          [-1, 128, 63, 42]         147,456
      BatchNorm2d-68          [-1, 128, 63, 42]             256
      BatchNorm2d-69          [-1, 64, 125, 84]             128
             ReLU-70          [-1, 128, 63, 42]               0
           Conv2d-71          [-1, 512, 63, 42]          65,536
             ReLU-72          [-1, 64, 125, 84]               0
           Conv2d-73          [-1, 64, 125, 84]          36,864
      BatchNorm2d-74          [-1, 512, 63, 42]           1,024
